I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0416,UGBS1T02,ENGINEERING MATHEMATICS-I,17,-1,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0416,UGBS1T03,ENGINEERING MATHEMATICS-II,18,-1,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A05B3,UGBS1T02,ENGINEERING MATHEMATICS-I,22,32,4,C,5,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A1272,UGBS1T02,ENGINEERING MATHEMATICS-I,25,34,4,C,5,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A1272,UGME1T01,ENGINEERING DRAWING,26,27,3,C,5,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A1272,UGEC1T01,BASIC ELECTRONICS ENGINEERING,16,30,3,P,4,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,15B01A0411,UGBS1T02,ENGINEERING MATHEMATICS-I,23,29,4,C,5,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,15B01A0547,UGBS1T05,ENGINEERING CHEMISTRY,18,15,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0104,UGBS1T02,ENGINEERING MATHEMATICS-I,18,44,4,B,6,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,15B01A0107,UGBS1T02,ENGINEERING MATHEMATICS-I,27,28,4,C,5,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A1231,UGBS1T02,ENGINEERING MATHEMATICS-I,30,32,4,B,6,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A1231,UGBS1T05,ENGINEERING CHEMISTRY,20,9,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A1271,UGBS1T02,ENGINEERING MATHEMATICS-I,23,30,4,C,5,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A1230,UGBS1T02,ENGINEERING MATHEMATICS-I,24,28,4,C,5,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A0150,UGBS1T02,ENGINEERING MATHEMATICS-I,20,27,4,P,4,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A1242,UGBS1T02,ENGINEERING MATHEMATICS-I,15,34,4,P,4,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,15B01A1265,UGBS1T02,ENGINEERING MATHEMATICS-I,10,33,4,P,4,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0148,UGBS1T02,ENGINEERING MATHEMATICS-I,21,35,4,C,5,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A04D9,UGBS1T06,ENVIRONMENTAL SCIENCE,19,10,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A04D9,UGBS1T04,ENGINEERING PHYSICS,19,-1,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A1224,UGBS1T02,ENGINEERING MATHEMATICS-I,26,39,4,B+,7,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A1224,UGBS1T05,ENGINEERING CHEMISTRY,23,2,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,15B01A0286,UGBS1T02,ENGINEERING MATHEMATICS-I,30,-1,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A05C4,UGBS1T02,ENGINEERING MATHEMATICS-I,21,-1,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,15B01A05H0,UGBS1T02,ENGINEERING MATHEMATICS-I,30,24,4,C,5,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,15B01A05H0,UGBS1T05,ENGINEERING CHEMISTRY,28,1,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A0349,UGBS1T02,ENGINEERING MATHEMATICS-I,18,30,4,P,4,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A0570,UGBS1T02,ENGINEERING MATHEMATICS-I,24,31,4,C,5,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0279,UGCS1T01,PROGRAMMING WITH C,12,-1,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,15B01A0323,UGBS1T02,ENGINEERING MATHEMATICS-I,18,35,4,C,5,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,15B01A0323,UGCS1T01,PROGRAMMING WITH C,15,22,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A04B2,UGBS1T04,ENGINEERING PHYSICS,26,12,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0228,UGBS1T02,ENGINEERING MATHEMATICS-I,14,26,4,P,4,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0228,UGBS1T03,ENGINEERING MATHEMATICS-II,18,7,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0228,UGBS1T04,ENGINEERING PHYSICS,14,2,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0228,UGCS1T01,PROGRAMMING WITH C,17,22,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A1277,UGBS1T02,ENGINEERING MATHEMATICS-I,21,34,4,C,5,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A0107,UGBS1T02,ENGINEERING MATHEMATICS-I,25,32,4,C,5,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A0107,UGBS1T05,ENGINEERING CHEMISTRY,22,27,3,P,4,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0142,UGBS1T05,ENGINEERING CHEMISTRY,14,7,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0142,UGCS1T03,INTRODUCTION TO COMPUTERS AND PROBLEM SOLVING,19,30,3,P,4,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0142,UGBS1T02,ENGINEERING MATHEMATICS-I,18,-1,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A0277,UGBS1T02,ENGINEERING MATHEMATICS-I,25,39,4,B,6,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A0277,UGBS1T04,ENGINEERING PHYSICS,15,8,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,15B01A0539,UGBS1T02,ENGINEERING MATHEMATICS-I,31,-1,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0429,UGBS1T02,ENGINEERING MATHEMATICS-I,33,30,4,B,6,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A0339,UGCS1T01,PROGRAMMING WITH C,13,22,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A1210,UGBS1T05,ENGINEERING CHEMISTRY,17,-1,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A0111,UGBS1T02,ENGINEERING MATHEMATICS-I,27,28,4,C,5,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A0111,UGBS1T05,ENGINEERING CHEMISTRY,20,1,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0269,UGBS1T03,ENGINEERING MATHEMATICS-II,17,10,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0269,UGBS1T04,ENGINEERING PHYSICS,14,6,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0539,UGBS1T02,ENGINEERING MATHEMATICS-I,24,27,4,C,5,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A1299,UGBS1T02,ENGINEERING MATHEMATICS-I,35,48,4,A+,9,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,15B01A05E4,UGME1T01,ENGINEERING DRAWING,3,37,3,P,4,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A02A5,UGBS1T02,ENGINEERING MATHEMATICS-I,14,31,4,P,4,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A02A5,UGBS1T04,ENGINEERING PHYSICS,16,14,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A02A5,UGCS1T01,PROGRAMMING WITH C,21,22,3,P,4,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A0129,UGBS1T05,ENGINEERING CHEMISTRY,21,15,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,15B01A0155,UGBS1T02,ENGINEERING MATHEMATICS-I,19,21,4,P,4,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,15B01A0155,UGBS1T05,ENGINEERING CHEMISTRY,16,0,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,15B01A0155,UGME1T01,ENGINEERING DRAWING,14,2,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0107,UGBS1T02,ENGINEERING MATHEMATICS-I,19,32,4,C,5,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0107,UGBS1T05,ENGINEERING CHEMISTRY,16,5,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0572,UGBS1T02,ENGINEERING MATHEMATICS-I,14,22,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0572,UGBS1T05,ENGINEERING CHEMISTRY,19,4,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0572,UGCS1T03,INTRODUCTION TO COMPUTERS AND PROBLEM SOLVING,15,-1,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,15B01A0309,UGCS1T01,PROGRAMMING WITH C,13,21,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0313,UGBS1T03,ENGINEERING MATHEMATICS-II,15,5,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0313,UGBS1T04,ENGINEERING PHYSICS,17,10,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0122,UGBS1T02,ENGINEERING MATHEMATICS-I,21,30,4,C,5,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0122,UGCS1T03,INTRODUCTION TO COMPUTERS AND PROBLEM SOLVING,18,32,3,C,5,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0122,UGBS1T05,ENGINEERING CHEMISTRY,13,-1,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A1215,UGBS1T02,ENGINEERING MATHEMATICS-I,27,29,4,C,5,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A1215,UGBS1T05,ENGINEERING CHEMISTRY,20,3,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A04H4,UGBS1T02,ENGINEERING MATHEMATICS-I,12,36,4,P,4,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A04H4,UGBS1T03,ENGINEERING MATHEMATICS-II,13,31,4,P,4,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A04H4,UGCS1T01,PROGRAMMING WITH C,15,32,3,P,4,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0564,UGBS1T05,ENGINEERING CHEMISTRY,16,18,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A1245,UGBS1T02,ENGINEERING MATHEMATICS-I,24,32,4,C,5,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A0265,UGBS1T03,ENGINEERING MATHEMATICS-II,14,-1,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0535,UGBS1T02,ENGINEERING MATHEMATICS-I,28,27,4,C,5,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,15B01A0408,UGBS1T02,ENGINEERING MATHEMATICS-I,15,26,4,P,4,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,15B01A0501,UGBS1T02,ENGINEERING MATHEMATICS-I,18,40,4,C,5,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A12B3,UGBS1T02,ENGINEERING MATHEMATICS-I,15,42,4,C,5,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0472,UGBS1T04,ENGINEERING PHYSICS,16,1,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0472,UGCS1T01,PROGRAMMING WITH C,14,22,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,15B01A0151,UGBS1T02,ENGINEERING MATHEMATICS-I,28,35,4,B,6,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A1262,UGBS1T02,ENGINEERING MATHEMATICS-I,17,42,4,C,5,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A05F3,UGBS1T02,ENGINEERING MATHEMATICS-I,23,37,4,B,6,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,15B01A1258,UGBS1T02,ENGINEERING MATHEMATICS-I,9,33,4,P,4,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,15B01A1258,UGBS1T05,ENGINEERING CHEMISTRY,11,6,0,F,0,
I B.TECH I SEMESTER (R14) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,14B01A05F1,UGME1T01,MECHANICS FOR ENGINEERS,11,-1,0,F,0,
I B.TECH I SEMESTER (R14) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,14B01A0549,UGBS1T02,ENGINEERING MATHEMATICS-I,19,21,0,F,0,
I B.TECH I SEMESTER (R14) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,14B01A12A8,UGBS1T02,ENGINEERING MATHEMATICS-I,14,9,0,F,0,
I B.TECH I SEMESTER (R14) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,14B01A12A8,UGME1T01,MECHANICS FOR ENGINEERS,12,24,0,F,0,
I B.TECH I SEMESTER (R14) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,14B01A0116,UGBS1T02,ENGINEERING MATHEMATICS-I,15,0,0,F,0,
I B.TECH I SEMESTER (R14) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,14B01A0116,UGBS1T05,ENGINEERING CHEMISTRY,10,2,0,F,0,
I B.TECH I SEMESTER (R14) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,14B01A0116,UGME1T02,ENGINEERING MECHANICS,14,43,3,C,5,
I B.TECH I SEMESTER (R14) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,14B01A1290,UGBS1T02,ENGINEERING MATHEMATICS-I,15,33,3,P,4,
I B.TECH I SEMESTER (R14) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,14B01A1290,UGME1T01,MECHANICS FOR ENGINEERS,15,24,0,F,0,
I B.TECH I SEMESTER (R14) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,14B01A1279,UGME1T01,MECHANICS FOR ENGINEERS,12,17,0,F,0,
I B.TECH I SEMESTER (R18) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,18B01A0144,UGME1T0118,ENGINEERING DRAWING,22,-1,0,F,0,
I B.TECH I SEMESTER (R18) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,18B01A05H4,UGBS1T0218,MATHEMATICS-I,26,10,0,F,0,
I B.TECH I SEMESTER (R18) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,18B01A05H4,UGBS1T0318,SEMICONDUCTOR PHYSICS,21,14,0,F,0,
I B.TECH I SEMESTER (R18) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,18B01A05H4,UGME1T0118,ENGINEERING DRAWING,14,15,0,F,0,
I B.TECH I SEMESTER (R18) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,18B01A0546,UGBS1T0318,SEMICONDUCTOR PHYSICS,17,12,0,F,0,
